project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url
incubator-retired-Amaterasu,8753167.2676,123,140,7,-44,26,1,2,False,4,24,9,426,65317,98,715,0.0023589963542783618,22.69,2,0,0,1,16.62093296746374,154,2017-09-27,2019-10-18,12,https://github.com/apache/incubator-retired-Amaterasu
oltu,6941135.680196809,387,452,11,28,122,3,2,True,-1,73,4,0,6917,2,1327,0.078125,81.65,5,0,0,0,17.573221757322177,46,2013-05-28,2023-04-15,12,https://github.com/apache/oltu
Abdera,2938138.296738281,259,61,15,4,25,1,2,True,-2,97,9,0,26165,35,1611,0.017543859649122806,55.07,40,1,0,2,9.907712322640972,274,2009-05-21,2020-11-26,12,https://github.com/apache/Abdera
ACE,9788017.927576544,1935,80,14,23,24,2,2,True,-2,88,13,0,4022,19,1858,0.0010720897460694647,19.66,42,0,6,15,8.611501326733114,235,2010-05-26,2020-06-17,12,https://github.com/apache/ACE
Allura,Issues missing,Issues missing,254,10,93,34,0,4,False,-6,Commits or Issues or PRs missing,38,0,71850,1226,13389,Issues missing,41.98,39,0,10,12,14.046379555134878,245,2014-04-05,2023-05-25,12,https://github.com/apache/Allura
incubator-BatchEE,3597850.263557143,679,47,11,65,19,2,1,True,-3,36,8,0,38758,14,267,0.05246720799500312,33.14,29,0,1,3,9.233974886220322,126,2013-11-05,2023-05-22,12,https://github.com/apache/incubator-BatchEE
Aurora,4326385.4242451135,6503,1500,11,235,242,0,5,False,-22,351,126,119,45584,452,3701,0.020702841695786907,92.86,29,1,0,6,2.437869822485207,286,2013-11-05,2020-02-23,12,https://github.com/apache/Aurora
bval,7829269.789685184,462,99,13,-57,27,5,2,False,1,89,18,57,19476,64,1414,0.03985969387755102,32.75,12,0,0,0,5.535549786450046,67,2011-02-02,2023-05-15,12,https://github.com/apache/bval
Airavata,6905910.718540531,12763,289,10,375,115,7,5,False,-7,276,99,1104,26050,299,10385,0.015365125328024613,2.3,0,50,95,335,50.31224500897569,323,2014-01-29,2023-05-23,12,https://github.com/apache/Airavata
AsterixDB,2077165.5111151026,5825,640,9,-99,128,1,4,False,7,176,56,0,6592,886,8286,0.012878609751405425,22.61,0,16,19,113,15.531952746939938,894,2015-03-10,2023-05-26,12,https://github.com/apache/AsterixDB
Bloodhound,Issues missing,Issues missing,321,11,216,35,1,1,True,-9,Commits or Issues or PRs missing,19,0,46401,71,1483,Issues missing,6.96,6,7,76,28,42.61659031627482,339,2013-04-08,2023-04-15,12,https://github.com/apache/Bloodhound
incubator-retired-Blur,4521682.770293652,313,103,10,130,33,-2,1,True,-4,27,8,0,3881,156,5120,0.0038594124700239807,14.41,29,2,15,38,32.243305862685865,196,2014-05-30,2017-06-22,12,https://github.com/apache/incubator-retired-Blur
Brooklyn,5337527.811984751,2060,339,9,20,71,-3,1,True,-4,87,24,6,9614,80,2499,0.5850515463917526,0.0,0,0,0,0,0.0,0,2015-12-02,2023-01-31,12,https://github.com/apache/Brooklyn
Buildr,14307120.323351242,2109,375,15,273,91,2,3,True,-4,179,26,435,71886,7,4393,0.04629035706649562,7.64,27,0,4,3,11.448578882328713,106,2009-05-21,2022-07-07,12,https://github.com/apache/Buildr
Aries,5982778.513506328,7071,364,15,465,152,4,7,False,-17,494,59,439,1521,164,20633,0.017942636595318414,54.78,31,2,4,17,14.309328418250171,180,2009-09-30,2023-04-21,12,https://github.com/apache/Aries
Chemistry,3686599.8813372506,3447,24,15,82,8,PRs missing,2,False,-4,Commits or Issues or PRs missing,14,0,PRs missing,25,482,0.1762496388327073,0.0,0,0,0,0,,0,2009-05-21,2022-01-26,12,https://github.com/apache/Chemistry
Chukwa,2653716.3200955587,856,210,12,0,44,0,1,True,0,48,11,0,34723,556,548,0.007568359375,15.01,38,1,6,17,12.52034649853131,385,2012-04-07,2019-07-05,12,https://github.com/apache/Chukwa
Click,4661232.728844296,37,33,11,11,11,PRs missing,1,True,-1,Commits or Issues or PRs missing,2,0,PRs missing,570,10443,0.00293968326755212,21.27,43,1,5,7,13.77078786966664,194,2013-11-08,2015-09-14,12,https://github.com/apache/Click
incubator-retired-Corinthia,915542.6232045457,222,36,10,98,6,PRs missing,2,False,-2,Commits or Issues or PRs missing,4,0,PRs missing,156,292,0.0008123476848090983,170.07,9,7,12,19,21.299177894907267,590,2014-12-18,2016-01-31,12,https://github.com/apache/incubator-retired-Corinthia
Clerezza,2862894.8425464923,1930,104,13,305,28,1,1,False,-3,69,21,1,68927,314,3798,0.01443277457049454,30.72,5,0,2,1,6.523757932208636,228,2011-02-12,2022-05-20,12,https://github.com/apache/Clerezza
incubator-retired-Cotton,2115615.502,15,207,9,0,23,PRs missing,1,False,0,Commits or Issues or PRs missing,0,0,PRs missing,19,37,0.03314917127071823,49.07,3,0,0,2,3.0303030303030303,248,2015-08-01,2015-12-10,12,https://github.com/apache/incubator-retired-Cotton
cTAKES,20849520.02168191,103,42,2,49,4,-7,1,False,-1,8,0,0,-1,8,73,0.0018801657554129972,5.16,0,14,16,88,41.240219800099496,833,2022-11-29,2023-05-17,12,https://github.com/apache/cTAKES
Crunch,438762.56447754515,3908,293,12,61,83,1,1,True,-5,209,58,0,61888,57,1217,0.0467412771560237,18.15,20,0,0,4,14.320730436914026,114,2012-10-19,2021-02-02,12,https://github.com/apache/Crunch
Deltacloud,1942697.7177250981,2384,172,14,83,24,0,2,True,-4,126,36,0,65397,88,2586,0.034282064021577116,159.19,14,0,2,0,27.73544589582325,94,2010-07-29,2020-09-22,12,https://github.com/apache/Deltacloud
DirectMemory,1849309.6265779824,557,133,13,69,27,0,1,True,-6,42,10,0,76108,10,642,0.008938303902332679,40.69,3,0,2,0,7.289701062667594,78,2011-10-15,2023-04-17,12,https://github.com/apache/DirectMemory
DistributedLog,1494305.4623906256,1144,443,8,28,73,-33,1,True,-7,61,29,0,25760,53,310,0.005411346918068826,43.83,40,1,6,10,5.70827425330467,136,2016-07-22,2023-04-17,12,https://github.com/apache/DistributedLog
