project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url
incubator-retired-Amaterasu,8753167.2676,123.0,140,7,-44.0,26,1.0,2,False,4.0,24.0,9.0,426,65317.0,98.0,715.0,0.0023589963542783618,22.69,2,0,0,1,16.62093296746374,154,2017-09-27,2019-10-18,12,https://github.com/apache/incubator-retired-Amaterasu
oltu,6941135.680196809,387.0,452,11,28.0,122,3.0,2,True,-1.0,73.0,4.0,0,6917.0,2.0,1327.0,0.078125,81.65,5,0,0,0,17.573221757322177,46,2013-05-28,2023-04-15,12,https://github.com/apache/oltu
Abdera,2938138.296738281,259.0,61,15,4.0,25,1.0,2,True,-2.0,97.0,9.0,0,26165.0,35.0,1611.0,0.017543859649122806,55.07,40,1,0,2,9.907712322640972,274,2009-05-21,2020-11-26,12,https://github.com/apache/Abdera
ACE,9788017.927576544,1935.0,80,14,23.0,24,2.0,2,True,-2.0,88.0,13.0,0,4022.0,19.0,1858.0,0.0010720897460694647,19.66,42,0,6,15,8.611501326733114,235,2010-05-26,2020-06-17,12,https://github.com/apache/ACE
incubator-BatchEE,3597850.263557143,679.0,47,11,65.0,19,2.0,1,True,-3.0,36.0,8.0,0,38758.0,14.0,267.0,0.05246720799500312,33.14,29,0,1,3,9.233974886220322,126,2013-11-05,2023-05-22,12,https://github.com/apache/incubator-BatchEE
Aurora,4326385.4242451135,6503.0,1500,11,235.0,242,0.0,5,False,-22.0,351.0,126.0,119,45584.0,452.0,3701.0,0.020702841695786907,92.86,29,1,0,6,2.437869822485207,286,2013-11-05,2020-02-23,12,https://github.com/apache/Aurora
bval,7829269.789685184,462.0,99,13,-57.0,27,5.0,2,False,1.0,89.0,18.0,57,19476.0,64.0,1414.0,0.03985969387755102,32.75,12,0,0,0,5.535549786450046,67,2011-02-02,2023-05-15,12,https://github.com/apache/bval
Airavata,6905910.718540531,12763.0,289,10,375.0,115,7.0,5,False,-7.0,276.0,99.0,1104,26050.0,299.0,10385.0,0.015365125328024613,2.3,0,50,95,335,50.31224500897569,323,2014-01-29,2023-05-23,12,https://github.com/apache/Airavata
AsterixDB,2077165.5111151026,5825.0,640,9,-99.0,128,1.0,4,False,7.0,176.0,56.0,0,6592.0,886.0,8286.0,0.012878609751405425,22.61,0,16,19,113,15.531952746939938,894,2015-03-10,2023-05-26,12,https://github.com/apache/AsterixDB
incubator-retired-Blur,4521682.770293652,313.0,103,10,130.0,33,-2.0,1,True,-4.0,27.0,8.0,0,3881.0,156.0,5120.0,0.0038594124700239807,14.41,29,2,15,38,32.243305862685865,196,2014-05-30,2017-06-22,12,https://github.com/apache/incubator-retired-Blur
Brooklyn,5337527.811984751,2060.0,339,9,20.0,71,-3.0,1,True,-4.0,87.0,24.0,6,9614.0,80.0,2499.0,0.5850515463917526,0.0,0,0,0,0,0.0,0,2015-12-02,2023-01-31,12,https://github.com/apache/Brooklyn
Buildr,14307120.323351242,2109.0,375,15,273.0,91,2.0,3,True,-4.0,179.0,26.0,435,71886.0,7.0,4393.0,0.04629035706649562,7.64,27,0,4,3,11.448578882328713,106,2009-05-21,2022-07-07,12,https://github.com/apache/Buildr
Aries,5982778.513506328,7071.0,364,15,465.0,152,4.0,7,False,-17.0,494.0,59.0,439,1521.0,164.0,20633.0,0.017942636595318414,54.78,31,2,4,17,14.309328418250171,180,2009-09-30,2023-04-21,12,https://github.com/apache/Aries
Chukwa,2653716.3200955587,856.0,210,12,0.0,44,0.0,1,True,0.0,48.0,11.0,0,34723.0,556.0,548.0,0.007568359375,15.01,38,1,6,17,12.52034649853131,385,2012-04-07,2019-07-05,12,https://github.com/apache/Chukwa
Clerezza,2862894.8425464923,1930.0,104,13,305.0,28,1.0,1,False,-3.0,69.0,21.0,1,68927.0,314.0,3798.0,0.01443277457049454,30.72,5,0,2,1,6.523757932208636,228,2011-02-12,2022-05-20,12,https://github.com/apache/Clerezza
cTAKES,20849520.02168191,103.0,42,2,49.0,4,-7.0,1,False,-1.0,8.0,0.0,0,-1.0,8.0,73.0,0.0018801657554129972,5.16,0,14,16,88,41.240219800099496,833,2022-11-29,2023-05-17,12,https://github.com/apache/cTAKES
Crunch,438762.56447754515,3908.0,293,12,61.0,83,1.0,1,True,-5.0,209.0,58.0,0,61888.0,57.0,1217.0,0.0467412771560237,18.15,20,0,0,4,14.320730436914026,114,2012-10-19,2021-02-02,12,https://github.com/apache/Crunch
Deltacloud,1942697.7177250981,2384.0,172,14,83.0,24,0.0,2,True,-4.0,126.0,36.0,0,65397.0,88.0,2586.0,0.034282064021577116,159.19,14,0,2,0,27.73544589582325,94,2010-07-29,2020-09-22,12,https://github.com/apache/Deltacloud
DirectMemory,1849309.6265779824,557.0,133,13,69.0,27,0.0,1,True,-6.0,42.0,10.0,0,76108.0,10.0,642.0,0.008938303902332679,40.69,3,0,2,0,7.289701062667594,78,2011-10-15,2023-04-17,12,https://github.com/apache/DirectMemory
DistributedLog,1494305.4623906256,1144.0,443,8,28.0,73,-33.0,1,True,-7.0,61.0,29.0,0,25760.0,53.0,310.0,0.005411346918068826,43.83,40,1,6,10,5.70827425330467,136,2016-07-22,2023-04-17,12,https://github.com/apache/DistributedLog
DeltaSpike,7193572.719667012,3736.0,420,11,29.0,130,0.0,2,False,-4.0,306.0,72.0,1148,44057.0,63.0,2499.0,0.04525107045543013,84.11,37,0,0,7,2.821631051024858,141,2013-06-04,2023-05-10,12,https://github.com/apache/DeltaSpike
Derby,7327678.1212651245,21343.0,744,13,102.0,138,0.0,4,False,-9.0,385.0,13.0,0,67715.0,117.0,8152.0,0.04950248756218906,95.1,0,22,53,170,10.741400427322358,901,2011-06-19,2023-05-19,12,https://github.com/apache/Derby
Drill,4192754.4094822877,57398.0,4573,12,-29.0,945,13.0,8,False,6.0,1222.0,237.0,387,12410.0,250.0,4375.0,0.08011226478201437,56.59,0,10,12,57,11.382147955327904,358,2012-09-05,2023-05-23,12,https://github.com/apache/Drill
CXF,5350733.288340371,13959.0,3014,10,346.0,1380,21.0,2,False,-8.0,1768.0,234.0,573,3314.0,965.0,36012.0,0.04012718226513969,118.25,0,1,19,77,13.055786411801371,270,2014-02-19,2023-05-29,12,https://github.com/apache/CXF
Eagle,1588072.006220073,4618.0,1010,9,111.0,190,-84.0,3,True,-9.0,131.0,45.0,0,62996.0,134.0,990.0,0.011411428250995346,29.28,42,1,0,9,15.598043574922189,246,2015-11-18,2020-11-20,12,https://github.com/apache/Eagle
Empire-db,12470583.921762895,779.0,179,13,-2.0,27,1.0,1,False,0.0,53.0,14.0,0,6314.0,142.0,1598.0,0.010586159576553617,6.37,35,8,2,6,13.308558005819863,140,2011-07-14,2023-05-22,12,https://github.com/apache/Empire-db
incubator-retired-Edgent,1980720.908269972,1966.0,562,8,349.0,140,-124.0,2,False,-13.0,63.0,23.0,0,30009.0,177.0,1228.0,0.00448715403248223,69.01,14,1,1,6,7.370239368265197,430,2016-03-10,2019-11-01,12,https://github.com/apache/incubator-retired-Edgent
ESME,4435278.189178218,686.0,43,14,303.0,11,1.0,2,True,-4.0,21.0,9.0,0,43731.0,90.0,2060.0,0.04081033470346448,12.3,5,0,0,0,14.701921899865344,98,2010-05-26,2023-04-18,12,https://github.com/apache/ESME
Falcon,1868437.627718405,12423.0,315,11,80.0,117,0.0,6,False,-4.0,231.0,58.0,0,28092.0,1258.0,1298.0,0.0368270169801216,63.42,39,2,4,21,12.862245365221828,327,2013-07-20,2019-07-25,12,https://github.com/apache/Falcon
CouchDB,17488680.689644292,26048.0,12425,15,117.0,1039,126.0,2,False,8.0,1602.0,268.0,3859,12566.0,546.0,16458.0,0.05688571498447015,55.19,7,0,15,1,16.37939050678389,111,2009-05-21,2023-05-27,12,https://github.com/apache/CouchDB
FtpServer,3646881.0218484183,399.0,209,13,79.0,57,1.0,1,True,-2.0,104.0,2.0,0,45016.0,79.0,1084.0,0.029199960540593865,58.62,21,0,0,6,12.282972069448938,149,2011-04-21,2023-04-24,12,https://github.com/apache/FtpServer
FreeMarker,1747141.8697292819,909.0,1957,9,93.0,247,-6.0,1,False,-1.0,197.0,36.0,0,14208.0,479.0,3026.0,0.004749841671944269,73.69,3,13,7,26,8.664883671392394,264,2015-09-04,2023-05-20,12,https://github.com/apache/FreeMarker
incubator-retired-Gearpump,747920.0069191175,2026.0,693,8,64.0,97,-55.0,3,False,-9.0,59.0,18.0,0,40590.0,526.0,1761.0,0.00637085557898515,25.16,14,0,0,3,3.010179562235135,153,2016-04-13,2018-08-28,12,https://github.com/apache/incubator-retired-Gearpump
