description,name,status,resource,sponsor,startdate,enddate,githuburl,svnurl,languages,main_language,cloc_language,comments,resolution/_tlp,mentors/mentor/0/_username,mentors/mentor/0/__text,mentors/mentor/1/_username,mentors/mentor/1/__text,mentors/mentor/2/_username,mentors/mentor/2/__text,reporting/_group,champion/_availid,champion/__text,mentors/mentor/3/_username,mentors/mentor/3/__text,resolution/_link,resolution/_url,resolution/__text,_resourceAliases,resolution,mentors/mentor/4/_username,mentors/mentor/4/__text,mentors/mentor/5/_username,mentors/mentor/5/__text,mentors/mentor/6/_username,mentors/mentor/6/__text,mentors/mentor/7/_username,mentors/mentor/7/__text,mentors/mentor/8/_username,mentors/mentor/8/__text,mentors/mentor/9/_username,mentors/mentor/9/__text,reporting/__text,graduating,changes/change/_resource,changes/change/_enddate,changes/change/__text,__text,reporting/_monthly,_longname
An implementation of the Atom Syndication Format and Atom Publishing Protocol.,Abdera,graduated,abdera,Incubator,2006-06-06,2008-11-08,https://github.com/apache/Abdera,,"{""Java"": 634197, ""XSLT"": 535}",Java,Java,,true,rooneg,Garrett Rooney,querna,Paul Querna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accumulo is a distributed key/value store that provides expressive, cell-level access labels.",Accumulo,graduated,accumulo,Incubator,2011-09-12,2012-03-21,https://github.com/apache/Accumulo,,"{""Java"": 20130868, ""JavaScript"": 71154, ""Shell"": 69991, ""FreeMarker"": 57980, ""Thrift"": 46812, ""C++"": 37312, ""Python"": 7344, ""CSS"": 6564, ""HTML"": 5504, ""Makefile"": 2872, ""C"": 2437}",Java,Java,,true,bimargulies,Benson Margulies,adc,Alan Cabrera,berndf,Bernd Fondermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A software distribution framework based on OSGi that allows you to manage and distribute artifacts.,ACE,graduated,ace,Board,2009-04-24,2011-12-21,https://github.com/apache/ACE,,"{""Java"": 3619927, ""CSS"": 154907, ""Shell"": 29308}",Java,Java,,true,niclas,Niclas Hedhman,cziegeler,Carsten Ziegeler,bdelacretaz,Bertrand Delacrétaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A robust and high performance Message Orientated Middleware provider which will be integrated into Apache Geronimo but also be usable from inside any JVM.,ActiveMQ,graduated,activemq,Geronimo,2005-12-01,2007-02-06,https://github.com/apache/ActiveMQ,,"{""Java"": 25887643, ""JavaScript"": 438271, ""HTML"": 157911, ""Shell"": 91119, ""CSS"": 34997, ""C#"": 27536, ""Batchfile"": 17712, ""C++"": 17404, ""Python"": 16801, ""Ruby"": 6594, ""Perl"": 4128, ""PHP"": 3665}",Java,Java,,true,jstrachan,James Strachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE is a multi-model database that enables graph and relational models built on PostgreSQL.,AGE,current,age,Incubator,2020-04-29,,https://github.com/apache/incubator-AGE,,"{""C"": 920703, ""Java"": 90167, ""TypeScript"": 58994, ""Yacc"": 41802, ""Lex"": 31606, ""PLpgSQL"": 26597, ""ANTLR"": 3794, ""Makefile"": 3430, ""Roff"": 2629, ""Shell"": 2097, ""Kotlin"": 1600, ""JavaScript"": 376}",C,C,,,djkevincr,Kevin Ratnasekera,vongosling,Von Gosling,rbircher,Raphael Bircher,3,jim,Jim Jagielski,felixcheung,Felix Cheung,,,,,,,,,,,,,,,,,,,,,,,,,
Extensible Business Process Management (BPM) engine core.,Agila,retired,agila,Jakarta,2004-09-29,2006-12-05,,https://svn.apache.org/repos/asf/incubator/agila,,,,,,geirm,Geir Magnusson Jr.,,,,,,,,,,ODE,ode.html,Project activity transferred to another Incubator project - ODE.,ode,,,,,,,,,,,,,,,,,,,,,
"A software suite to compose, manage, execute, and monitor large scale applications and workflows on computational resources ranging from local clusters to national grids and computing clouds.",Airavata,graduated,airavata,Board,2011-05-05,2012-09-19,https://github.com/apache/Airavata,,"{""Java"": 35824192, ""C++"": 8274651, ""PHP"": 1176285, ""Blade"": 640580, ""Python"": 630522, ""Thrift"": 470347, ""JavaScript"": 404261, ""Jinja"": 226164, ""Shell"": 122476, ""HTML"": 91922, ""CSS"": 34425, ""C"": 29278, ""XSLT"": 3266, ""Batchfile"": 2959, ""Dockerfile"": 1242}",Java,Java,,true,aslom,Alek Slominski,ate,Ate Douma,sanjiva,Sanjiva Weerawarana,,rgardler,Ross Gardler,mattmann,Chris Mattmann,,,,,,,,,,,,,,,,,,,,,,,,,
Airflow is a workflow automation and scheduling system that can be used to author and manage data pipelines.,Airflow,graduated,airflow,Incubator,2016-03-31,2018-12-19,https://github.com/apache/Airflow,,"{""Python"": 16505048, ""Shell"": 715570, ""TypeScript"": 173894, ""HTML"": 142337, ""JavaScript"": 133201, ""Dockerfile"": 38877, ""Jinja"": 30667, ""CSS"": 26419, ""HCL"": 3786, ""Jupyter Notebook"": 2933, ""Mako"": 1339}",Python,Python,,true,hitesh,Hitesh Shah,jghoman,Jakob Homan,,,,criccomini,Chris Riccomini,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forge software for the development of software projects, including source control systems, issue tracking, discussion, wiki, and other software project management tools.",Allura,graduated,allura,Incubator,2012-06-25,2014-03-19,https://github.com/apache/Allura,,"{""Python"": 4439889, ""JavaScript"": 1175302, ""HTML"": 833585, ""CSS"": 179574, ""Shell"": 125967, ""SCSS"": 27742, ""RAML"": 27401, ""Makefile"": 6248, ""Batchfile"": 6142, ""Dockerfile"": 4226, ""XSLT"": 3357, ""Ruby"": 1280, ""Roff"": 41}",Python,Python,,true,rgardler,Ross Gardler,gstein,Greg Stein,jim,Jim Jagielski,,rbowen,Rich Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALOIS is a log collection and correlation software with reporting and alarming functionalities.,Alois,retired,alois,Incubator,2010-09-21,2011-06-30,,https://svn.apache.org/repos/asf/incubator/alois,,,,,,sdeboy,Scott Deboy,grobmeier,Christian Grobmeier,,,,,,,,,,,,Podling requested to be retired,,,,,,,,,,,,,,,,,,,,
A transparent Remote Procedure Call bean.,AltRMI,retired,altrmi,Incubator,2003-02-13,2007-01-18,,,,,,Project closed down. Activity moved to JRemoting.,,hammant,Paul Hammant,,,,,,,,,,JRemoting,http://jremoting.codehaus.org/,Development stalled and the project activity transferred to JRemoting,,,,,,,,,,,,,,,,,,,,,,
